,volume,DailyTweetAmounts
"Jan 23, 2017",-24.943711804438728,1
"Jan 24, 2017",14.622424928831613,8
"Jan 25, 2017",-0.5928537093414565,8
"Jan 26, 2017",-4.166666666666663,7
"Jan 27, 2017",-3.812407142656915,7
"Jan 30, 2017",-7.5335878530003235,8
"Jan 31, 2017",17.798159354513363,5
"Feb 10, 2017",-4.0207801789062705,3
"Feb 13, 2017",0.7654613586138392,5
"Feb 14, 2017",13.336723666645467,4
"Feb 15, 2017",7.796286948230403,11
"Feb 16, 2017",-7.872417919766893,6
"Feb 17, 2017",-3.81226702812606,9
"Feb 21, 2017",-1.0979977687745834,2
"Feb 22, 2017",-7.821776300166228,2
"Feb 23, 2017",-2.711493253469877,3
"Feb 24, 2017",-3.1677203667538345,5
"Feb 27, 2017",-12.306009434607233,3
"Feb 28, 2017",32.22499415295861,2
"Mar 10, 2017",14.302797506885055,3
"Mar 13, 2017",-8.296610975493767,5
"Mar 14, 2017",-14.671921454746597,2
"Mar 15, 2017",24.216027874564446,9
"Mar 16, 2017",-13.774095697837508,5
"Mar 17, 2017",102.4814646693902,9
"Mar 20, 2017",-52.62105813779704,8
"Mar 21, 2017",45.62517250897047,3
"Mar 22, 2017",-11.976064117838195,4
"Mar 23, 2017",-13.854624873112064,4
"Mar 24, 2017",4.617032672737009,4
"Mar 27, 2017",-8.055157348624476,4
"Mar 28, 2017",11.244338852179078,6
"Mar 29, 2017",-20.47251977174892,5
"Mar 30, 2017",13.67069486404835,9
"Mar 31, 2017",12.133628645256556,7
"Apr 10, 2017",4.89236790606653,2
"Apr 11, 2017",10.690732384588683,6
"Apr 12, 2017",4.919253684540604,6
"Apr 13, 2017",-11.902716030933615,4
"Apr 17, 2017",-2.786141385013363,8
"Apr 18, 2017",14.805444076077466,7
"Apr 19, 2017",12.010791093548145,4
"Apr 20, 2017",5.9873130024763475,3
"Apr 21, 2017",18.29471258481627,8
"Apr 24, 2017",-7.359307359307356,7
"Apr 25, 2017",1.688084112149535,5
"Apr 26, 2017",-5.637888448503648,9
"Apr 27, 2017",-6.957845076852842,12
"Apr 28, 2017",7.949229611698128,6
"May 10, 2017",3.7875457875457874,11
"May 11, 2017",1.5317286652078763,5
"May 12, 2017",0.2850389321468194,10
"May 15, 2017",8.55112651646448,2
"May 16, 2017",-0.5077114666155791,5
"May 17, 2017",35.82386545991398,1
"May 18, 2017",-0.14413988657845378,5
"May 19, 2017",-13.58527177642632,2
"May 22, 2017",-24.387973054384137,2
"May 23, 2017",-11.288570186875267,4
"May 24, 2017",15.607266789140636,2
"May 25, 2017",-5.018009746451026,4
"May 26, 2017",-22.66795553407444,4
"May 30, 2017",16.735576923076927,6
"May 31, 2017",53.033235863432324,10
"Jun 12, 2017",32.95065458207451,5
"Jun 13, 2017",-38.738448719890926,11
"Jun 14, 2017",-8.784890729807426,3
"Jun 15, 2017",7.492629367311675,6
"Jun 16, 2017",90.1828499369483,9
"Jun 19, 2017",-52.02731823757585,14
"Jun 20, 2017",7.1872840359364245,11
"Jun 21, 2017",-5.705996131528046,3
"Jun 22, 2017",-7.45982905982906,16
"Jun 23, 2017",36.101669868479384,5
"Jun 26, 2017",-34.34310532030401,12
"Jun 27, 2017",20.791301471804193,11
"Jun 28, 2017",-7.071225656295987,10
"Jun 29, 2017",24.028580899414376,13
