,DailyTweetAmounts
"Apr 12, 2020",4
"Apr 11, 2020",31
"Apr 10, 2020",49
"Apr 9, 2020 ",39
"Apr 8, 2020 ",21
"Apr 7, 2020 ",13
"Apr 6, 2020 ",25
"Apr 5, 2020 ",23
"Apr 4, 2020 ",70
"Apr 3, 2020 ",11
"Apr 2, 2020 ",19
"Apr 1, 2020 ",5
"Mar 31, 2020",26
"Mar 30, 2020",13
"Mar 29, 2020",35
"Mar 28, 2020",16
"Mar 27, 2020",43
"Mar 26, 2020",8
"Mar 25, 2020",32
"Mar 24, 2020",28
"Mar 23, 2020",52
"Mar 22, 2020",80
"Mar 21, 2020",23
"Mar 20, 2020",9
"Mar 19, 2020",62
"Mar 18, 2020",20
"Mar 17, 2020",47
"Mar 16, 2020",29
"Mar 15, 2020",27
"Mar 14, 2020",20
"Mar 13, 2020",30
"Mar 12, 2020",47
"Mar 11, 2020",23
"Mar 10, 2020",32
"Mar 9, 2020 ",38
"Mar 8, 2020 ",4
"Mar 7, 2020 ",15
"Mar 6, 2020 ",25
"Mar 5, 2020 ",31
"Mar 4, 2020 ",40
"Mar 3, 2020 ",37
"Mar 2, 2020 ",49
"Mar 1, 2020 ",29
"Feb 29, 2020",10
"Feb 28, 2020",24
"Feb 27, 2020",11
"Feb 26, 2020",46
"Feb 25, 2020",22
"Feb 24, 2020",39
"Feb 23, 2020",13
"Feb 22, 2020",12
"Feb 21, 2020",47
"Feb 20, 2020",33
"Feb 19, 2020",41
"Feb 18, 2020",37
"Feb 17, 2020",18
"Feb 16, 2020",3
"Feb 15, 2020",45
"Feb 14, 2020",23
"Feb 13, 2020",10
"Feb 12, 2020",17
"Feb 11, 2020",47
"Feb 10, 2020",15
"Feb 9, 2020 ",54
"Feb 8, 2020 ",72
"Feb 7, 2020 ",59
"Feb 6, 2020 ",15
"Feb 5, 2020 ",36
"Feb 4, 2020 ",29
"Feb 3, 2020 ",43
"Feb 2, 2020 ",23
"Feb 1, 2020 ",56
"Jan 31, 2020",16
"Jan 30, 2020",44
"Jan 29, 2020",29
"Jan 28, 2020",36
"Jan 27, 2020",51
"Jan 26, 2020",37
"Jan 25, 2020",71
